infections,deaths,infecteds
1,0,0
1,0,0
2,0,1
2,0,1
3,0,2
4,0,3
4,0,3
5,0,4
6,0,5
6,0,5
7,0,6
11,0,10
12,0,12
16,0,15
16,0,15
18,0,17
22,0,21
24,0,23
26,0,25
29,0,28
30,1,30
29,1,30
32,1,33
36,1,38
38,1,41
44,1,48
45,1,49
47,1,51
49,1,56
50,1,58
50,1,61
50,2,63
50,2,65
56,2,74
64,2,84
67,2,88
65,2,91
71,2,98
76,2,104
88,2,115
85,4,120
86,4,122
84,4,124
87,4,132
96,4,141
98,4,148
100,5,155
101,5,159
105,5,163
112,5,170
103,5,171
108,5,181
106,6,186
106,6,190
106,6,192
105,6,194
97,6,197
95,7,203
102,7,211
110,7,222
110,7,225
108,7,231
109,7,234
107,7,238
110,7,245
114,7,254
119,7,261
118,7,266
117,7,272
121,7,281
126,7,289
134,7,300
137,8,308
139,9,312
146,9,323
152,9,336
155,9,346
164,10,359
166,10,367
176,10,380
175,10,385
181,10,395
185,10,411
189,10,423
203,10,440
211,11,451
210,11,461
220,11,475
214,11,482
227,12,499
238,12,516
239,13,528
236,14,534
239,16,547
237,16,557
236,16,567
242,16,581
250,16,597
253,16,608
243,16,615
243,18,625
245,19,639
243,19,655
249,19,671
244,20,680
258,21,698
253,21,705
248,22,714
248,23,728
253,23,743
259,23,755
259,24,772
263,26,783
260,27,793
257,27,805
258,29,821
263,29,837
266,30,848
272,32,868
269,32,878
261,32,890
265,33,905
266,33,917
261,34,930
270,35,945
273,35,958
275,36,976
283,36,995
288,36,1012
283,36,1025
292,36,1043
300,37,1059
298,38,1072
294,38,1086
300,38,1103
303,39,1118
303,39,1130
297,41,1138
303,41,1153
309,42,1171
310,43,1185
316,44,1204
306,44,1213
306,46,1226
312,47,1246
306,47,1265
302,47,1277
300,47,1291
296,47,1302
314,47,1325
325,48,1347
324,48,1361
313,49,1373
309,49,1384
318,49,1404
324,51,1422
323,52,1437
323,56,1457
329,57,1477
330,57,1495
327,58,1509
333,59,1530
336,60,1546
346,60,1573
342,61,1586
348,61,1605
350,61,1630
345,63,1649
345,64,1667
363,64,1687
371,66,1710
376,66,1731
384,66,1757
381,66,1775
389,67,1795
387,68,1813
385,68,1830
386,70,1849
390,70,1870
392,73,1886
385,73,1900
390,74,1929
395,74,1942
385,76,1958
379,76,1976
380,78,1988
372,79,2004
360,81,2015
364,84,2031
353,85,2044
334,86,2054
328,86,2065
330,86,2084
326,86,2097
328,86,2108
323,87,2120
317,89,2133
316,89,2149
310,91,2165
310,91,2180
300,92,2185
293,96,2195
295,97,2213
303,97,2229
290,97,2232
277,97,2236
273,98,2244
281,98,2256
277,98,2266
281,99,2279
266,101,2284
259,102,2290
250,103,2300
244,103,2307
235,103,2315
229,103,2323
215,104,2327
208,104,2334
210,104,2342
207,104,2347
193,106,2352
183,106,2356
186,107,2367
185,107,2373
181,107,2381
173,108,2387
166,108,2392
153,109,2393
152,109,2398
157,109,2407
151,110,2412
148,111,2417
145,112,2425
140,112,2426
140,112,2428
135,112,2433
131,112,2438
129,112,2441
125,112,2442
124,112,2445
113,112,2449
107,112,2452
99,112,2452
96,114,2455
92,114,2457
88,114,2459
86,114,2460
74,115,2460
72,115,2461
62,115,2462
61,115,2463
60,115,2463
53,115,2463
50,115,2464
42,116,2464
40,116,2466
36,116,2467
34,116,2468
31,116,2468
31,116,2469
33,116,2470
29,116,2470
28,117,2471
23,117,2471
23,117,2471
23,117,2471
23,117,2471
22,117,2471
18,117,2471
17,117,2471
13,118,2471
14,118,2472
14,118,2472
11,119,2472
10,119,2473
11,119,2473
11,119,2473
9,119,2473
8,119,2473
8,119,2473
9,119,2475
8,119,2475
8,119,2475
6,119,2475
6,119,2475
6,119,2475
6,119,2475
6,119,2475
5,119,2475
5,119,2475
5,119,2475
5,119,2475
4,119,2475
3,119,2475
2,119,2475
2,119,2475
2,119,2475
1,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
0,119,2475
