infections,deaths,infecteds
2,0,2
3,0,3
3,0,3
3,0,3
4,0,4
4,0,4
6,0,6
8,0,8
9,0,9
10,0,10
12,0,12
14,0,14
13,0,14
13,0,14
18,0,19
20,0,21
21,0,22
24,0,25
24,0,26
25,0,28
26,0,29
27,0,31
29,0,33
30,0,34
31,0,36
32,1,39
32,1,40
33,1,42
35,1,46
41,1,53
46,1,57
48,1,60
46,1,62
47,1,64
49,1,69
52,1,73
53,1,75
57,1,82
59,1,84
62,1,89
59,1,89
64,1,94
71,1,104
71,1,106
77,1,110
80,1,115
77,1,120
79,1,125
80,1,129
79,1,132
88,1,143
90,1,147
92,1,155
97,1,161
97,2,165
94,3,167
97,3,172
96,3,174
98,3,182
99,3,190
97,3,193
96,3,196
94,3,200
96,4,206
96,5,213
98,5,219
103,5,226
102,5,234
100,6,240
95,6,241
96,6,249
99,6,257
101,6,260
110,6,273
111,6,276
113,7,285
113,7,290
107,7,292
116,7,301
117,8,308
120,8,316
125,8,323
132,8,334
130,9,342
131,9,351
131,9,359
137,9,366
151,9,381
156,10,392
153,10,396
163,10,412
159,10,419
160,10,424
163,10,433
173,10,446
171,10,454
177,11,464
181,12,476
188,12,489
194,13,503
194,15,512
198,15,523
207,15,540
208,15,550
205,15,560
206,15,571
214,16,587
210,16,593
212,16,606
214,16,614
218,16,626
215,16,636
220,16,653
232,16,668
233,17,681
226,17,688
226,17,702
229,17,714
239,17,734
234,20,747
240,20,757
240,20,770
250,21,788
260,22,811
258,22,823
266,22,839
274,23,855
280,23,869
300,23,893
305,24,913
310,24,927
312,26,943
314,28,957
324,29,980
323,29,992
323,29,1008
316,29,1021
323,29,1036
334,31,1055
340,32,1072
331,33,1086
333,34,1099
339,36,1121
347,38,1141
343,38,1156
345,38,1170
346,39,1197
337,40,1207
343,40,1225
342,41,1240
345,42,1262
340,43,1278
344,44,1291
351,44,1308
352,44,1324
349,44,1343
358,44,1370
367,44,1387
364,44,1403
366,44,1420
366,44,1443
372,44,1465
377,44,1486
373,44,1506
363,46,1521
375,48,1543
385,48,1565
384,49,1584
385,50,1601
385,52,1622
385,54,1643
394,54,1666
395,54,1683
393,55,1706
392,57,1722
391,57,1741
402,57,1764
404,57,1783
396,57,1799
394,57,1818
409,58,1848
406,58,1866
401,58,1883
404,60,1904
404,61,1926
409,62,1946
404,63,1963
405,63,1988
408,66,2005
403,69,2022
411,69,2045
408,69,2061
409,70,2082
411,72,2103
400,72,2114
393,73,2127
398,74,2148
384,74,2159
380,75,2174
371,76,2187
354,77,2196
356,78,2213
346,78,2221
333,78,2231
335,80,2250
328,81,2266
325,83,2281
311,83,2290
305,83,2298
289,84,2306
284,85,2321
276,88,2329
279,88,2339
266,89,2346
259,90,2356
257,91,2367
248,92,2375
247,92,2383
246,93,2391
234,94,2396
228,95,2400
221,97,2409
216,97,2416
205,97,2421
198,98,2423
195,98,2435
191,98,2439
183,99,2446
177,99,2452
172,101,2457
170,102,2463
162,103,2466
158,103,2471
152,103,2472
147,103,2476
144,103,2484
141,104,2487
139,104,2490
134,104,2490
122,104,2492
114,104,2493
109,105,2495
105,105,2499
94,105,2501
88,105,2502
83,105,2504
76,105,2505
75,105,2510
68,105,2510
67,105,2512
64,105,2513
58,105,2513
50,106,2513
43,106,2514
43,106,2516
38,108,2516
39,108,2517
41,108,2519
41,108,2520
42,108,2522
36,108,2522
35,108,2522
34,108,2523
32,108,2524
29,108,2524
26,108,2524
25,108,2525
23,108,2525
23,108,2526
22,108,2526
22,108,2526
21,108,2526
20,108,2526
20,108,2526
17,108,2526
15,108,2526
14,108,2526
12,109,2526
13,109,2526
14,109,2526
14,109,2526
12,109,2526
12,109,2526
11,109,2526
9,109,2526
8,109,2526
8,109,2526
9,109,2526
9,109,2526
9,109,2526
7,109,2526
8,109,2526
8,109,2526
9,109,2526
8,109,2526
9,109,2526
7,109,2526
6,109,2526
6,109,2526
6,109,2526
5,109,2526
5,109,2526
5,109,2526
5,109,2526
4,109,2526
3,109,2526
4,109,2526
4,109,2526
4,109,2526
3,109,2526
3,109,2526
2,110,2526
1,110,2526
1,110,2526
1,110,2526
1,110,2526
1,110,2526
1,110,2526
1,110,2526
1,110,2526
1,110,2526
1,110,2526
1,110,2526
1,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
0,110,2526
